ticker,open_price,current_price,year_high,year_low,company_name
HES,142.5,141.77,167.75,113.82,Hess Corporation
HIG,83.17,82.16,83.38,64.25,Hartford Financial Services Gro
HII,253.27,254.68,261.42,188.51,"Huntington Ingalls Industries, "
HLT,182.54,182.16,183.51,129.86,Hilton Worldwide Holdings Inc.
HOLX,72.82,72.75,87.88,64.02,"Hologic, Inc."
HON,203.39,201.1,217.02,174.88,Honeywell International Inc.
HPE,16.42,15.89,18.135,13.655,Hewlett Packard Enterprise Comp
HPQ,30.04,29.81,33.9,25.22,HP Inc.
HRL,31.68,31.81,46.88,30.12,Hormel Foods Corporation
HSIC,74.18,73.76,89.72,60.01,"Henry Schein, Inc."
HST,19.9,19.75,20.39,14.51,"Host Hotels & Resorts, Inc."
HSY,193.13,190.64,276.88,178.82,The Hershey Company
HUBB,329.05,327.63,340.06,219.77,Hubbell Inc
HUM,430.91,438.71,541.21,423.29,Humana Inc.
HWM,55.67,55.54,55.9,38.17,Howmet Aerospace Inc.
IBM,162.97,165.8,166.34,120.55,International Business Machines
ICE,127.31,126.96,129.16,94.16,Intercontinental Exchange Inc.
IDXX,563.0,535.29,568.3,372.5,"IDEXX Laboratories, Inc."
IEX,209.72,206.91,240.15,183.77,IDEX Corporation
IFF,83.0,80.25,118.34,62.11,International Flavors & Fragran
ILMN,141.22,138.04,238.55,89.0,"Illumina, Inc."
INCY,63.3,62.74,86.29,50.27,Incyte Corporation
INTC,47.6,47.12,51.28,24.73,Intel Corporation
INTU,612.0,611.8,631.07,378.22,Intuit Inc.
INVH,34.18,33.8,36.535,28.49,Invitation Homes Inc.
IP,38.0,37.67,41.89,29.01,International Paper Company
IPG,32.67,31.97,40.95,27.2,"Interpublic Group of Companies,"
IQV,215.92,213.85,241.86,167.42,"IQVIA Holdings, Inc."
IR,78.09,77.42,78.17,51.84,Ingersoll Rand Inc.
IRM,66.82,67.23,70.66,48.94,Iron Mountain Incorporated (Del
ISRG,365.0,363.71,366.86,222.65,"Intuitive Surgical, Inc."
IT,443.11,454.21,469.58,292.6,"Gartner, Inc."
ITW,256.03,253.63,265.0,217.06,Illinois Tool Works Inc.
IVZ,17.83,17.28,20.56,12.48,Invesco Ltd
J,133.15,133.83,141.16,109.0,Jacobs Solutions Inc.
JBHT,192.04,192.08,209.21,163.66,"J.B. Hunt Transport Services, I"
JBL,129.7,128.14,141.38,74.16,Jabil Inc.
JCI,57.86,56.34,70.43,47.9,Johnson Controls International 
JKHY,168.04,167.59,184.19,136.57,"Jack Henry & Associates, Inc."
JNJ,161.84,162.39,175.97,144.95,Johnson & Johnson
JNPR,37.7,37.51,38.04,24.87,"Juniper Networks, Inc."
JPM,173.8,169.05,176.31,123.11,JP Morgan Chase & Co.
K,55.45,55.42,67.88732,47.63,Kellanova
KDP,32.09,31.91,36.23,27.66,Keurig Dr Pepper Inc.
KEY,14.45,14.2,20.3,8.54,KeyCorp
KEYS,152.78,151.95,189.315,118.57,Keysight Technologies Inc.
KHC,37.74,37.68,42.62,30.68,The Kraft Heinz Company
KIM,20.79,20.62,23.27,16.34,Kimco Realty Corporation (HC)
KLAC,563.98,560.61,597.43,355.88,KLA Corporation
KMB,124.33,124.17,147.87,116.32,Kimberly-Clark Corporation
KMI,18.05,17.97,19.1,15.89,"Kinder Morgan, Inc."
KMX,72.23,69.59,87.5,55.77,CarMax Inc
KO,60.08,60.39,64.99,51.55,Coca-Cola Company (The)
KR,45.93,46.03,50.36,42.1,Kroger Company (The)
KVUE,22.0,21.51,27.795,17.82,Kenvue Inc.
L,71.5,71.08,71.84,52.85,Loews Corporation
LDOS,108.8,110.19,111.39,76.58,"Leidos Holdings, Inc."
LEN,155.48,151.75,156.01,94.11,Lennar Corporation
LH,223.29,223.48,234.09,179.58763,Laboratory Corporation of Ameri
LHX,204.99,207.8,219.31,160.25,"L3Harris Technologies, Inc."
LIN,408.74,408.92,434.21,318.88,Linde plc
LKQ,47.49,47.04,59.38,41.49,LKQ Corporation
LLY,638.2,642.92,644.0,309.2,Eli Lilly and Company
LMT,457.37,463.18,508.1,393.77,Lockheed Martin Corporation
LNT,50.36,50.38,56.26,45.15,Alliant Energy Corporation
LOW,220.26,218.91,237.21,181.85,"Lowe's Companies, Inc."
LRCX,760.73,759.67,801.29,453.65,Lam Research Corporation
LULU,488.08,479.94,516.39,286.58,lululemon athletica inc.
LUV,29.57,28.57,39.53,21.91,Southwest Airlines Company
LVS,49.84,49.61,65.58,43.77,Las Vegas Sands Corp.
LW,107.615,107.15,117.382,81.255,"Lamb Weston Holdings, Inc."
LYB,95.39,94.43,102.05,81.24,LyondellBasell Industries NV
LYV,92.0,90.66,101.74,64.25,"Live Nation Entertainment, Inc."
MA,429.95,429.1,431.79,340.21,Mastercard Incorporated
MAA,135.36,134.03,176.36,115.56,Mid-America Apartment Communiti
MAR,227.79,225.5,228.94,153.56,Marriott International
MAS,68.6,67.28,69.66,46.69,Masco Corporation
MCD,295.46,293.47,299.35,245.73,McDonald's Corporation
MCHP,86.09,85.41,94.3,68.75,Microchip Technology Incorporat
MCK,487.68,485.32,489.73,331.75,McKesson Corporation
MCO,379.85,379.79,396.91,278.23,Moody's Corporation
MDLZ,73.2,73.12,78.59,60.75,"Mondelez International, Inc."
MDT,87.6,87.42,92.02,68.84,Medtronic plc.
MET,69.68,68.83,73.28,48.95,"MetLife, Inc."
META,370.155,374.49,377.06,132.14,"Meta Platforms, Inc."
MGM,43.25,42.37,51.35,34.12,MGM Resorts International
MHK,106.88,101.85,130.63,76.02,"Mohawk Industries, Inc."
MKC,66.27,66.35,94.39,59.13,"McCormick & Company, Incorporat"
MKTX,272.97,268.98,399.78,200.01,"MarketAxess Holdings, Inc."
MLM,497.3,495.88,500.94,317.94,"Martin Marietta Materials, Inc."
MMC,193.85,195.94,202.81,151.86,"Marsh & McLennan Companies, Inc"
MMM,109.42,108.12,129.9,85.35,3M Company
MNST,59.13,59.05,60.47,47.13,Monster Beverage Corporation
