Item,Shares,Value ($)
Cash,0.0,10.059999999996514
ABBV,33.98660000000001,6188.97
CBOE,72.77550000000002,13371.05
CEG,8.3907,1551.03
CI,1.1131,404.27
COR,47.455600000000004,11531.24
FANG,33.924699999999994,6722.86
FAST,26.219,2022.54
GRMN,7.4507,1109.19
IBM,2.3306280950291525e-16,0.01
JNPR,75.39469999999999,2794.13
KEY,-0.00030000000000000165,0.0
LDOS,26.5738,3483.56
LLY,3.9773,3094.19
META,2.092299999999999,1015.98
MOH,6.326400000000001,2599.08
MPC,4.9282,993.04
NFLX,3.3223999999999996,2017.8
NRG,92.4626,6258.8
NVDA,3.674100000000001,3319.77
NWS,-0.0002999999999993008,0.0
PGR,32.7904,6781.72
PSX,38.0625,6217.13
QCOM,5.900900000000001,999.03
RL,6.4789,1216.48
STX,13.5491,1260.75
T,16.8822,297.13
TSN,52.96280000000001,3110.51
VLTO,24.194899999999993,2145.12
WAT,5.384299999999999,1853.44
WDC,29.0341,1981.29
WM,1.9087000000000003,406.84
WRK,74.2443,3671.39
AKAM,4.440892098500626e-16,0.01
UBER,-0.00010000000000010001,0.0
DIS,5.1402,628.96
MU,1.0583999999999998,124.78
DPZ,3.7754999999999996,1875.98
HIG,13.669100000000002,1408.61
