Item,Shares,Value ($)
Cash,0.0,0.02
ABBV,32.4397,5800.54
AKAM,1.1343,122.58
ANET,0.5259,143.95986086425782
CBOE,99.7432,19606.52
CI,0.2936,100.50221528320313
COR,49.3676,11766.27360321045
COST,2.514,1873.8098386230467
DPZ,3.0226,1387.3734000000002
FANG,31.4567,5571.296156199646
FAST,26.9518,1967.48
IBM,14.3676,2645.51
JNPR,82.1734,3046.989822463989
LDOS,33.2039,4173.398272064209
LLY,6.4934,5012.385217028809
META,5.5199,2659.16
NFLX,0.6553,385.08706099853515
NVDA,3.1664,2504.3690338867186
PGR,31.8447,6164.497084309387
PSX,63.536,9423.02
QCOM,2.5401,398.871899899292
RL,21.8704,4089.55
STX,23.0275,2041.6182343292237
T,35.3937,587.54
UBER,23.2744,1823.7819982055664
VLTO,29.6424,2558.44
VTRS,151.27579999999998,2031.63
WAT,4.8961,1601.1715770233154
WM,0.4921,102.09
WRK,9.393999999999998,410.71
