Item,Shares,Value ($)
Cash,0.0,10.089999999996522
ABBV,33.98660000000001,6188.97
CBOE,72.77540000000002,13371.03
CEG,8.3909,1551.06
CI,1.1132,404.31
COR,47.4558,11531.29
FANG,33.925,6722.92
FAST,26.218400000000003,2022.49
GRMN,7.4507,1109.19
IBM,2.3306280950291525e-16,0.01
JNPR,75.39499999999998,2794.14
KEY,-0.00030000000000000165,0.0
LDOS,26.5738,3483.56
LLY,3.9773,3094.19
META,2.092299999999999,1015.98
MOH,6.326500000000001,2599.12
MPC,4.928,993.0
NFLX,3.3223999999999996,2017.8
NRG,92.463,6258.83
NVDA,3.674000000000001,3319.68
NWS,-0.0002999999999993008,0.0
PGR,32.790299999999995,6781.7
PSX,38.0626,6217.15
QCOM,5.901000000000001,999.04
RL,6.479100000000001,1216.52
STX,13.548599999999999,1260.7
T,16.8821,297.13
TSN,52.96140000000001,3110.43
VLTO,24.195099999999993,2145.14
WAT,5.384099999999998,1853.37
WDC,29.034399999999998,1981.31
WM,1.9088000000000003,406.87
WRK,74.2448,3671.41
AKAM,4.440892098500626e-16,0.01
UBER,-0.00010000000000010001,0.0
DIS,5.1405,629.0
MU,1.0585999999999998,124.8
DPZ,3.7756,1876.03
HIG,13.669200000000002,1408.62
