Item,Shares,Value ($)
Cash,0.0,10.049999999996317
ABBV,34.43090000000001,6144.2
CBOE,78.61330000000001,14222.72
CEG,4.8465,863.85
CI,-4.85722573273506e-17,0.0
COR,49.6877,12049.27
FANG,35.3528,6883.2
FAST,31.6508,2471.93
GRMN,6.529999999999999,961.81
IBM,-9.999999999976694e-05,-0.01
JNPR,82.0488,3039.91
KEY,-0.00030000000000000165,0.0
LDOS,19.1417,2471.96
LLY,3.3429999999999995,2576.15
META,3.5681999999999987,1818.29
MOH,5.947900000000001,2466.72
MPC,8.2042,1642.24
NFLX,2.8076,1763.21
NRG,116.5415,7828.1
NVDA,4.2391000000000005,3997.01
NWS,-0.0002999999999993008,0.0
PGR,34.1699,7028.75
PSX,37.0955,5914.88
QCOM,8.073,1373.22
RL,10.3193,1935.91
STX,4.6419,413.18
T,-9.999999999976694e-05,0.0
TSN,59.00330000000001,3425.15
VLTO,28.759799999999995,2572.86
WAT,7.662699999999998,2661.34
WDC,14.470500000000001,925.25
WM,2.2301,472.3
WRK,63.91619999999999,3082.04
AKAM,1.8076000000000003,196.98
ANET,1.2363,378.83
A,2.3531,346.97
UBER,0.7021,56.33
