Item,Shares,Value ($)
Cash,0.0,9.809999999995853
ABBV,36.3547,6466.78
AKAM,-0.00010000000000065512,-0.01
CBOE,83.1987,15268.63
CEG,0.7477999999999998,123.78
CI,0.6619999999999999,233.06
COR,48.9515,11661.72
DVA,-0.0001000000000000445,-0.01
FANG,35.310900000000004,6706.96
FAST,20.7496,1556.85
GRMN,11.885699999999998,1732.35
IBM,3.3169000000000004,633.77
JNPR,81.1786,2940.29
KEY,-0.00030000000000000165,0.0
LDOS,21.7927,2787.73
LLY,3.8752999999999997,2922.64
META,3.6317,1758.11
MOH,4.984500000000001,2015.99
MPC,5.4852,1063.26
NFLX,2.4442,1480.9
NRG,118.1514,7553.42
NVDA,4.3392,3811.43
NWS,-0.0002999999999993008,0.0
PGR,35.6402,7301.97
PSX,41.182900000000004,6549.32
QCOM,10.260200000000001,1715.51
RL,8.256899999999998,1499.46
STX,5.6699,487.67
T,-9.999999999976694e-05,0.0
TSN,35.51420000000001,1994.13
VLTO,17.0747,1476.97
WAT,11.2374,3965.68
WDC,5.8225,348.13
WM,1.6263,342.39
WRK,83.8771,4076.43
