Item,Shares,Value ($)
Cash,0.0,96856.34999999998
AAL,2.0,26.42
AES,2.0,36.88
AMCR,2.0,19.5
APA,2.0,65.08
BAC,2.0,65.6
BAX,2.0,80.0
BBWI,2.0,84.42
BEN,2.0,56.8
BKR,2.0,63.04
BWA,2.0,65.58
CAG,2.0,57.9
CCL,2.0,33.92
CFG,2.0,63.28
CMCSA,2.0,85.98
CNP,2.0,57.14
CPB,2.0,86.84
CPRT,2.0,95.14
CSX,2.0,69.72
CTLT,2.0,98.66
CTRA,2.0,51.14
CTVA,2.0,92.22
CZR,2.0,88.8
D,2.0,94.66
DAL,2.0,76.94
DVN,2.0,85.54
EBAY,2.0,82.42
EQT,2.0,75.64
EXC,2.0,72.14
F,2.0,22.92
FCX,2.0,81.88
FE,2.0,76.74
FITB,2.0,68.72
FOX,2.0,57.5
FOXA,2.0,62.28
GEN,2.0,46.18
GLW,2.0,61.2
GM,2.0,70.52
HAL,2.0,68.96
HAS,2.0,97.22
HBAN,2.0,25.04
HPE,2.0,31.78
HPQ,2.0,59.62
HRL,2.0,63.62
HST,2.0,39.5
INTC,2.0,94.24
INVH,2.0,67.6
IP,2.0,75.34
IPG,2.0,63.94
IVZ,2.0,34.56
JNPR,2.0,75.02
KDP,2.0,63.82
KEY,2.0,28.4
KHC,2.0,75.36
KIM,2.0,41.24
KMI,2.0,35.94
KR,2.0,92.06
KVUE,2.0,43.02
LKQ,2.0,94.08
LUV,2.0,57.14
LVS,2.0,99.22
MGM,2.0,84.74
MO,2.0,82.68
MOS,2.0,65.56
MRO,2.0,46.8
MTCH,2.0,73.76
NCLH,2.0,33.5
NEM,2.0,75.28
NI,2.0,53.48
NWS,2.0,50.68
NWSA,2.0,48.48
PARA,2.0,26.66
PCG,2.0,35.02
PEAK,2.0,41.68
PFE,2.0,57.4
PPL,2.0,54.16
RF,2.0,36.56
ROL,2.0,87.5
SLB,2.0,99.9
SYF,2.0,73.46
T,2.0,32.96
TFC,2.0,73.48
TPR,2.0,72.68
UAL,2.0,79.56
UDR,2.0,77.18
USB,2.0,84.3
VFC,2.0,32.42
VICI,2.0,62.2
VTR,2.0,98.22
VTRS,2.0,23.36
VZ,2.0,77.12
WBA,2.0,46.54
WBD,2.0,21.3
WFC,2.0,94.8
WMB,2.0,69.84
WRK,2.0,83.38
WY,2.0,67.26
XRAY,2.0,73.12
ZION,2.0,84.22
