Item,Shares,Value ($)
Cash,0.0,10.019999999996571
ABBV,32.94660000000001,5955.43
CBOE,72.16520000000003,13124.69
CEG,7.3462000000000005,1366.25
CI,0.9873,359.46
COR,49.68130000000001,12072.56
FANG,32.588899999999995,6499.86
FAST,19.729,1511.05
GRMN,2.8770000000000007,423.96
IBM,2.3306280950291525e-16,0.01
JNPR,77.80989999999998,2882.86
KEY,-0.00030000000000000165,0.0
LDOS,26.5296,3460.0
LLY,3.498,2660.41
META,2.628299999999999,1291.42
MOH,6.182400000000001,2498.93
MPC,9.0891,1857.91
NFLX,3.4600999999999997,2125.58
NRG,112.3163,7878.99
NVDA,3.260800000000001,2946.56
NWS,-0.0002999999999993008,0.0
PGR,34.366299999999995,7215.21
PSX,33.6776,5500.9
QCOM,7.791800000000001,1338.01
RL,5.2269000000000005,965.0
STX,5.0778,466.05
T,-9.999999999976694e-05,0.0
TSN,46.029300000000006,2662.8
VLTO,21.772899999999993,1906.0
WAT,6.425499999999999,2213.65
WDC,41.0694,2909.77
WM,3.7087000000000003,789.62
WRK,80.9123,3992.22
AKAM,4.440892098500626e-16,0.01
UBER,-0.00010000000000010001,0.0
DIS,4.3409,527.55
MU,4.0137,498.91
DPZ,3.4438999999999997,1701.02
HIG,7.329600000000002,751.22
A,1.0605,154.37
