Item,Shares,Value ($)
Cash,0.0,9.959999999995853
ABBV,36.354800000000004,6466.8
CBOE,83.1986,15268.61
CEG,0.7477999999999998,123.78
CI,0.6619999999999999,233.06
COR,48.9512,11661.65
FANG,35.310900000000004,6706.96
FAST,20.7497,1556.85
GRMN,11.885599999999998,1732.33
IBM,3.3169000000000004,633.77
JNPR,81.1786,2940.29
KEY,-0.00030000000000000165,0.0
LDOS,21.7926,2787.71
LLY,3.8751999999999995,2922.56
META,3.6315999999999997,1758.06
MOH,4.984500000000001,2015.99
MPC,5.4853,1063.28
NFLX,2.4442,1480.9
NRG,118.1515,7553.43
NVDA,4.3392,3811.43
NWS,-0.0002999999999993008,0.0
PGR,35.6401,7301.95
PSX,41.1828,6549.31
QCOM,10.260200000000001,1715.51
RL,8.256799999999998,1499.44
STX,5.6699,487.67
T,-9.999999999976694e-05,0.0
TSN,35.51420000000001,1994.13
VLTO,17.0747,1476.97
WAT,11.2374,3965.68
WDC,5.8225,348.13
WM,1.6263,342.39
WRK,83.8771,4076.43
