Item,Shares,Value ($)
Cash,0.0,10.099999999996442
ABBV,36.48590000000001,6513.83
CBOE,75.98800000000001,13647.45
CEG,8.2136,1538.08
CI,0.06589999999999996,23.44
COR,49.1261,11891.47
FANG,37.4587,7364.01
FAST,23.790300000000002,1832.1
GRMN,6.1785,906.27
IBM,2.3306280950291525e-16,0.01
JNPR,85.3277,3163.1
KEY,-0.00030000000000000165,0.0
LDOS,17.9824,2305.71
LLY,3.1704999999999997,2451.25
META,3.0472999999999986,1532.86
MOH,5.8737,2423.02
MPC,9.4467,1887.74
NFLX,3.1134,1953.54
NRG,118.323,8061.35
NVDA,4.432300000000001,4210.78
NWS,-0.0002999999999993008,0.0
PGR,34.9199,7194.2
PSX,30.2051,4725.9
QCOM,6.221500000000001,1042.23
RL,6.7869,1241.19
STX,-0.00010000000000065512,0.0
T,-9.999999999976694e-05,0.0
TSN,63.97710000000001,3739.47
VLTO,29.300099999999993,2619.43
WAT,7.8184999999999985,2679.56
WDC,20.7245,1346.68
WM,2.9931,633.85
WRK,72.33019999999999,3521.76
AKAM,2.9122000000000003,316.15
ANET,1.4379,439.28
A,0.3973,57.84
UBER,-0.00010000000000010001,0.0
DIS,3.915,467.3
MU,1.2643,148.09
