Item,Shares,Value ($)
Cash,0.0,10.049999999996125
ABBV,29.049700000000005,5183.92
CBOE,80.5493,14572.98
CEG,3.0991999999999997,552.41
CI,-4.85722573273506e-17,0.0
COR,50.8729,12336.68
FANG,34.152,6649.4
FAST,31.5478,2463.89
GRMN,7.484999999999999,1102.47
IBM,3.3886000000000003,646.69
JNPR,79.5253,2946.42
KEY,-0.00030000000000000165,0.0
LDOS,15.291799999999999,1974.79
LLY,3.9534999999999996,3046.61
META,4.063799999999999,2070.84
MOH,5.756400000000001,2387.3
MPC,7.1421,1429.64
NFLX,2.776,1743.36
NRG,121.8749,8186.34
NVDA,3.8464000000000005,3626.74
NWS,-0.0002999999999993008,0.0
PGR,33.8482,6962.58
PSX,36.7183,5854.74
QCOM,8.879100000000001,1510.34
RL,11.3147,2122.64
STX,8.3431,742.62
T,-9.999999999976694e-05,0.0
TSN,52.37850000000001,3040.58
VLTO,22.975699999999996,2055.41
WAT,8.857499999999998,3076.3
WDC,1.1841999999999997,75.72
WM,2.9019000000000004,614.57
WRK,76.04169999999999,3666.74
AKAM,4.033,439.48
ANET,0.5998999999999999,183.83
HIG,7.1751,718.66
