Item,Shares,Value ($)
Cash,0.0,93712.70000000001
AAL,2.0,13.21
AES,2.0,18.44
AMCR,2.0,9.75
APA,2.0,32.54
BAC,2.0,32.8
BAX,2.0,40.0
BBWI,2.0,42.21
BEN,2.0,28.4
BKR,2.0,31.52
BWA,2.0,32.79
CAG,2.0,28.95
CCL,2.0,16.96
CFG,2.0,31.64
CMCSA,2.0,42.99
CNP,2.0,28.57
CPB,2.0,43.42
CPRT,2.0,47.57
CSX,2.0,34.86
CTLT,2.0,49.33
CTRA,2.0,25.57
CTVA,2.0,46.11
CZR,2.0,44.4
D,2.0,47.33
DAL,2.0,38.47
DVN,2.0,42.77
EBAY,2.0,41.21
EQT,2.0,37.82
EXC,2.0,36.07
F,2.0,11.46
FCX,2.0,40.94
FE,2.0,38.37
FITB,2.0,34.36
FOX,2.0,28.75
FOXA,2.0,31.14
GEN,2.0,23.09
GLW,2.0,30.6
GM,2.0,35.26
HAL,2.0,34.48
HAS,2.0,48.61
HBAN,2.0,12.52
HPE,2.0,15.89
HPQ,2.0,29.81
HRL,2.0,31.81
HST,2.0,19.75
INTC,2.0,47.12
INVH,2.0,33.8
IP,2.0,37.67
IPG,2.0,31.97
IVZ,2.0,17.28
JNPR,2.0,37.51
KDP,2.0,31.91
KEY,2.0,14.2
KHC,2.0,37.68
KIM,2.0,20.62
KMI,2.0,17.97
KR,2.0,46.03
KVUE,2.0,21.51
LKQ,2.0,47.04
LUV,2.0,28.57
LVS,2.0,49.61
MGM,2.0,42.37
MO,2.0,41.34
MOS,2.0,32.78
MRO,2.0,23.4
MTCH,2.0,36.88
NCLH,2.0,16.75
NEM,2.0,37.64
NI,2.0,26.74
NWS,2.0,25.34
NWSA,2.0,24.24
PARA,2.0,13.33
PCG,2.0,17.51
PEAK,2.0,20.84
PFE,2.0,28.7
PPL,2.0,27.08
RF,2.0,18.28
ROL,2.0,43.75
SLB,2.0,49.95
SYF,2.0,36.73
T,2.0,16.48
TFC,2.0,36.74
TPR,2.0,36.34
UAL,2.0,39.78
UDR,2.0,38.59
USB,2.0,42.15
VFC,2.0,16.21
VICI,2.0,31.1
VTR,2.0,49.11
VTRS,2.0,11.68
VZ,2.0,38.56
WBA,2.0,23.27
WBD,2.0,10.65
WFC,2.0,47.4
WMB,2.0,34.92
WRK,2.0,41.69
WY,2.0,33.63
XRAY,2.0,36.56
ZION,2.0,42.11
