Item,Shares,Value ($)
Cash,0.0,9.949999999998145
ABBV,37.516300000000015,6652.77
CBOE,74.41790000000002,13308.16
CEG,7.736200000000002,1471.89
CI,1.1745999999999999,424.12
COR,55.63870000000001,13676.0
FANG,31.199699999999993,6340.41
FAST,12.3037,939.39
GRMN,7.288,1064.34
IBM,2.3306280950291525e-16,0.01
JNPR,69.22149999999999,2564.66
KEY,-0.00030000000000000165,0.0
LDOS,20.427899999999998,2635.41
LLY,3.7733000000000003,2928.05
META,1.7915999999999992,907.88
MOH,1.455216155910044e-15,0.01
MPC,12.642199999999999,2717.57
NFLX,3.4426,2169.12
NRG,101.9354,7340.37
NVDA,3.350200000000001,2980.48
NWS,-0.0002999999999993008,0.0
PGR,34.836,7342.39
PSX,39.180899999999994,6766.94
QCOM,8.343600000000002,1451.04
RL,2.220446049250313e-16,0.01
STX,6.3137,578.53
T,-0.00019999999999976807,0.0
TSN,36.806900000000006,2127.81
VLTO,20.777399999999993,1812.83
WAT,7.037199999999999,2400.39
WDC,32.5108,2328.43
WM,3.9049000000000005,821.67
WRK,83.0078,4059.09
AKAM,4.440892098500626e-16,0.01
UBER,-0.00010000000000010001,0.0
DIS,11.1294,1324.18
MU,5.998900000000001,767.92
HIG,3.8762000000000016,395.84
A,2.7407,393.93
TGT,0.7239,127.04
WRB,-0.00010000000000000005,0.0
SMCI,0.0273,27.73
DECK,2.2177,1997.53
