Item,Shares,Value ($)
Cash,0.0,9.89999999999634
ABBV,32.87420000000001,5890.73
CBOE,69.85180000000001,12441.31
CEG,9.3829,1739.69
CI,0.3156,112.9
COR,48.0602,11669.02
FANG,34.0843,6620.88
FAST,26.754,2054.18
GRMN,7.1524,1054.27
IBM,2.3306280950291525e-16,0.01
JNPR,74.07239999999999,2743.65
KEY,-0.00030000000000000165,0.0
LDOS,27.3692,3540.48
LLY,3.8396999999999997,2975.39
META,2.4033999999999986,1191.83
MOH,8.2787,3464.14
MPC,7.0604,1393.59
NFLX,3.8964,2451.78
NRG,89.06099999999999,5867.34
NVDA,3.7047000000000008,3429.11
NWS,-0.0002999999999993008,0.0
PGR,33.0852,6770.89
PSX,34.4814,5399.79
QCOM,5.1519,860.73
RL,5.333,971.36
STX,15.869899999999998,1503.2
T,17.102,293.82
TSN,58.27920000000001,3390.11
VLTO,26.313899999999993,2346.42
WAT,3.667799999999999,1240.09
WDC,30.014499999999998,2045.49
WM,2.5904000000000003,548.57
WRK,84.13619999999999,4151.29
AKAM,4.440892098500626e-16,0.01
A,3.0905,446.3
UBER,-0.00010000000000010001,0.0
DIS,1.4898000000000002,178.68
MU,1.9790999999999999,235.12
DPZ,3.0185,1457.94
HIG,8.7085,878.69
