Item,Shares,Value ($)
Cash,0.0,9.929999999996085
ABBV,35.31590000000001,6381.24
CBOE,75.16040000000002,13728.05
CEG,8.906400000000001,1675.57
CI,2.1271999999999998,772.37
COR,51.12010000000001,12426.79
FANG,31.116699999999994,6234.86
FAST,16.3437,1247.03
GRMN,6.9583,1014.11
IBM,2.3306280950291525e-16,0.01
JNPR,82.21149999999999,3034.43
KEY,-0.00030000000000000165,0.0
LDOS,18.2428,2352.41
LLY,3.7221,2843.54
META,3.682899999999999,1831.77
MOH,0.0009000000000014552,0.35
MPC,12.0665,2550.62
NFLX,3.1597,1940.72
NRG,92.4257,6340.41
NVDA,3.251300000000001,2908.36
NWS,-0.0002999999999993008,0.0
PGR,36.0913,7576.65
PSX,40.075199999999995,6792.35
QCOM,6.930900000000001,1185.47
RL,0.34670000000000023,61.09
STX,8.0055,722.34
T,0.014600000000000233,0.26
TSN,34.585100000000004,1992.11
VLTO,20.77659999999999,1798.84
WAT,5.510999999999998,1872.26
WDC,26.6671,1835.5
WM,7.1527,1510.01
WRK,80.023,3942.74
AKAM,4.440892098500626e-16,0.01
UBER,0.0045999999999999,0.36
DIS,15.32,1881.61
MU,6.2612000000000005,768.57
DPZ,4.417999999999999,2196.9
HIG,2.9250000000000016,297.95
A,2.8301,408.02
AIZ,0.0005,0.1
ALL,0.0005,0.09
ANET,0.0001,0.03
DVA,0.0004,0.06
FICO,0.0001,0.13
MCK,0.0001,0.06
TGT,0.9279,163.54
WRB,0.0006,0.06
