Item,Shares,Value ($)
Cash,0.0,10.129999999997931
ABBV,-9.999999998200337e-05,-0.01
CBOE,83.83560000000001,15168.38
CEG,4.482200000000002,865.43
CI,2.807,1017.4
COR,56.09920000000001,13644.45
FANG,29.62109999999999,6052.19
FAST,24.2243,1856.31
GRMN,7.1055,1048.28
IBM,2.3306280950291525e-16,0.01
JNPR,75.07979999999999,2783.21
KEY,-0.00030000000000000165,0.0
LDOS,25.006299999999996,3217.32
LLY,4.7975,3762.25
META,5.4838,2891.83
MOH,0.8739000000000015,329.26
MPC,19.5811,4290.81
NFLX,2.3851,1517.36
NRG,103.8582,7557.77
NVDA,2.524600000000001,2221.86
NWS,-0.0002999999999993008,0.0
PGR,34.9469,7373.8
PSX,33.363499999999995,5696.82
QCOM,5.253100000000002,901.07
RL,0.13220000000000023,22.74
STX,6.5845,592.54
T,0.011500000000000232,0.21
TSN,70.36410000000001,4155.01
VLTO,27.557499999999994,2399.99
WAT,3.5251999999999986,1184.26
WDC,47.5531,3476.61
WM,4.440892098500626e-16,0.01
WRK,96.3711,4712.55
AKAM,4.440892098500626e-16,0.01
UBER,0.0049999999999999,0.39
DIS,4.777,565.51
MU,1.114700000000001,137.76
HIG,13.816300000000002,1426.4
A,8.4818,1222.4
TGT,1.4485000000000001,248.81
WRB,-0.00010000000000000005,0.0
SMCI,0.149,141.26
DECK,0.24449999999999972,215.14
GE,0.0036,0.57
