Item,Shares,Value ($)
Cash,0.0,96856.35
AAL,1.0,0.0
AES,1.0,0.0
AMCR,1.0,0.0
APA,1.0,0.0
BAC,1.0,0.0
BAX,1.0,0.0
BBWI,1.0,0.0
BEN,1.0,0.0
BKR,1.0,0.0
BWA,1.0,0.0
CAG,1.0,0.0
CCL,1.0,0.0
CFG,1.0,0.0
CMCSA,1.0,0.0
CNP,1.0,0.0
CPB,1.0,0.0
CPRT,1.0,0.0
CSX,1.0,0.0
CTLT,1.0,0.0
CTRA,1.0,0.0
CTVA,1.0,0.0
CZR,1.0,0.0
D,1.0,0.0
DAL,1.0,0.0
DVN,1.0,0.0
EBAY,1.0,0.0
EQT,1.0,0.0
EXC,1.0,0.0
F,1.0,0.0
FCX,1.0,0.0
FE,1.0,0.0
FITB,1.0,0.0
FOX,1.0,0.0
FOXA,1.0,0.0
GEN,1.0,0.0
GLW,1.0,0.0
GM,1.0,0.0
HAL,1.0,0.0
HAS,1.0,0.0
HBAN,1.0,0.0
HPE,1.0,0.0
HPQ,1.0,0.0
HRL,1.0,0.0
HST,1.0,0.0
INTC,1.0,0.0
INVH,1.0,0.0
IP,1.0,0.0
IPG,1.0,0.0
IVZ,1.0,0.0
JNPR,1.0,0.0
KDP,1.0,0.0
KEY,1.0,0.0
KHC,1.0,0.0
KIM,1.0,0.0
KMI,1.0,0.0
KR,1.0,0.0
KVUE,1.0,0.0
LKQ,1.0,0.0
LUV,1.0,0.0
LVS,1.0,0.0
MGM,1.0,0.0
MO,1.0,0.0
MOS,1.0,0.0
MRO,1.0,0.0
MTCH,1.0,0.0
NCLH,1.0,0.0
NEM,1.0,0.0
NI,1.0,0.0
NWS,1.0,0.0
NWSA,1.0,0.0
PARA,1.0,0.0
PCG,1.0,0.0
PEAK,1.0,0.0
PFE,1.0,0.0
PPL,1.0,0.0
RF,1.0,0.0
ROL,1.0,0.0
SLB,1.0,0.0
SYF,1.0,0.0
T,1.0,0.0
TFC,1.0,0.0
TPR,1.0,0.0
UAL,1.0,0.0
UDR,1.0,0.0
USB,1.0,0.0
VFC,1.0,0.0
VICI,1.0,0.0
VTR,1.0,0.0
VTRS,1.0,0.0
VZ,1.0,0.0
WBA,1.0,0.0
WBD,1.0,0.0
WFC,1.0,0.0
WMB,1.0,0.0
WRK,1.0,0.0
WY,1.0,0.0
XRAY,1.0,0.0
ZION,1.0,0.0
