Item,Shares,Value ($)
Cash,0.0,9.699999999996464
ABBV,38.551500000000004,6933.88
AKAM,5.0886,557.36
CBOE,83.7551,15369.07
CEG,3.1412999999999998,527.3
CI,0.12319999999999999,42.97
COR,41.3939,9718.05
DVA,0.15859999999999996,21.93
FANG,37.938900000000004,7115.82
FAST,12.5931,944.99
GRMN,15.184999999999999,2241.61
IBM,12.0181,2363.97
JNPR,84.9354,3107.79
KEY,-0.00030000000000000165,0.0
LDOS,24.517,3130.58
LLY,3.7992,2879.19
META,3.5139,1741.39
MOH,5.4039,2187.99
MPC,3.5745,675.19
NFLX,2.2936,1397.84
NRG,94.7109,5913.75
NVDA,4.37,3971.81
NWS,11.7682,321.28
PGR,34.9401,6978.94
PSX,42.197300000000006,6518.22
QCOM,7.424500000000001,1256.6
RL,9.111799999999999,1665.73
STX,5.8899,522.26
T,10.9952,189.01
TSN,35.534000000000006,1985.29
UBER,1.0138,79.33
VLTO,28.9539,2579.8
WAT,9.902199999999999,3482.91
WDC,10.5787,660.96
WM,1.6855,354.38
WRK,56.405,2645.4
CB,0.3004,77.91
HIG,0.0691,6.88
