Item,Shares,Value ($)
Cash,0.0,9.939999999995877
ABBV,37.27590000000001,6653.38
CBOE,82.3348,15124.91
CEG,1.2378999999999998,209.01
CI,0.15259999999999996,53.82
COR,49.1218,11755.34
FANG,35.8965,6822.49
FAST,23.3445,1767.18
GRMN,11.051699999999999,1613.66
IBM,3.7342000000000004,715.81
JNPR,84.3934,3098.09
KEY,-0.00030000000000000165,0.0
LDOS,14.968399999999999,1891.26
LLY,3.7959999999999994,2895.06
META,4.130999999999999,2053.03
MOH,5.5319,2270.02
MPC,7.100899999999999,1373.89
NFLX,2.8005999999999998,1731.87
NRG,122.5825,7967.87
NVDA,4.0735,3603.22
NWS,-0.0002999999999993008,0.0
PGR,35.012899999999995,7227.02
PSX,36.2664,5685.13
QCOM,10.2916,1717.88
RL,8.8113,1612.38
STX,5.1102,436.36
T,-9.999999999976694e-05,0.0
TSN,40.96370000000001,2297.66
VLTO,17.615099999999998,1533.05
WAT,10.298499999999999,3576.36
WDC,1.6258,96.43
WM,3.599,761.81
WRK,80.52459999999999,3896.59
AKAM,1.6908,182.39
ANET,0.5387,155.86
