Item,Shares,Value ($)
Cash,0.0,9.9899999999962
ABBV,31.339800000000007,5652.14
CBOE,70.66750000000002,12732.17
CEG,8.7255,1613.26
CI,0.9063,329.3
COR,47.7907,11691.52
FANG,34.5248,6785.16
FAST,25.454700000000003,1967.14
GRMN,6.1428,909.02
IBM,2.3306280950291525e-16,0.01
JNPR,74.20119999999999,2766.23
KEY,-0.00030000000000000165,0.0
LDOS,26.6478,3478.61
LLY,4.0477,3149.84
META,2.524699999999999,1246.85
MOH,7.471500000000001,3127.57
MPC,4.5001999999999995,886.5
NFLX,3.4791999999999996,2134.6
NRG,89.8874,5988.3
NVDA,3.5725000000000007,3224.19
NWS,-0.0002999999999993008,0.0
PGR,32.5224,6704.5
PSX,36.6214,5821.34
QCOM,5.871300000000001,993.02
RL,6.5783000000000005,1226.86
STX,17.2626,1632.7
T,29.9569,525.75
TSN,56.89260000000001,3345.86
VLTO,27.096999999999994,2431.69
WAT,4.1907999999999985,1446.63
WDC,24.813799999999997,1678.41
WM,3.4688000000000003,742.22
WRK,76.2511,3751.56
AKAM,4.440892098500626e-16,0.01
A,2.194,323.33
UBER,-0.00010000000000010001,0.0
DIS,2.2825,276.14
MU,3.3430999999999997,398.29
DPZ,3.5582,1751.1
HIG,12.138100000000001,1241.73
