Item,Shares,Value ($)
Cash,0.0,9.899999999995543
ABBV,42.1976,7579.96
AKAM,7.9891,879.05
CBOE,82.6041,15185.12
CEG,4.252,713.96
COR,44.5167,10580.73
FANG,38.5641,7115.08
FAST,7.3815,548.6
GRMN,12.4183,1812.95
IBM,9.1638,1756.98
JNPR,84.9204,3142.06
LDOS,24.5429,3123.09
LLY,3.794,2786.2
META,3.5055,1695.23
MOH,5.3049,2134.01
MPC,0.2776,50.36
NFLX,2.4244,1456.9
NRG,92.5378,5593.92
NVDA,4.2943,3683.4
NWS,10.3215,281.89
PGR,36.3305,7147.67
PKG,1.4694,275.78
PSX,39.8915,5963.39
QCOM,11.405,1951.63
RL,8.1758,1458.49
STX,15.3499,1408.2
T,25.6222,444.04
TSN,34.3772,1915.85
UBER,2.8213,218.57
VLTO,27.9138,2477.63
WAT,9.8531,3486.62
WDC,2.9834,185.12
WM,0.9943,208.09
WRK,58.9021,2729.53
