Item,Shares,Value ($)
Cash,0.0,9.969999999982276
ABBV,41.80179999999999,7562.79
AKAM,6.8637,753.5
CBOE,80.85189999999999,14690.79
CEG,3.0245999999999995,509.26
COR,45.64939999999999,10839.0
FANG,38.375599999999984,7081.07
FAST,9.144300000000001,688.21
GRMN,15.1659,2251.38
IBM,12.729400000000002,2517.63
JNPR,85.29350000000001,3143.07
LDOS,23.0098,2927.77
LLY,3.9193999999999996,2958.96
META,3.4707999999999997,1734.54
MOH,5.4027,2174.86
MPC,0.0017000000000000348,0.31
NFLX,2.3548999999999998,1439.04
NRG,96.92089999999999,6038.18
NVDA,4.3433,3992.06
NWS,11.275699999999999,307.49
PGR,36.56349999999998,7273.95
PSX,39.20979999999999,5895.98
QCOM,11.1091,1922.77
RL,7.7131,1391.83
STX,11.513300000000001,1048.98
T,16.792299999999994,288.83
TSN,34.261399999999995,1897.74
UBER,0.007200000000000095,0.57
VLTO,23.8026,2104.87
WAT,9.9248,3506.44
WDC,4.406999999999998,277.51
WM,0.9959,208.93
WRK,66.49980000000002,3119.51
A,0.0002,0.03
CI,0.00030000000000000003,0.11
DVA,0.9786,136.24
KEY,0.0502,0.75
MCK,0.0003,0.16
TGT,0.0002,0.04
