Item,Shares,Value ($)
Cash,0.0,0
ABBV,32.4399,5800.58
AKAM,1.1344,122.59
ANET,0.5259,143.96
CBOE,99.7431,19606.5
CI,0.2936,100.5
COR,49.3676,11766.27
COST,2.514,1873.81
DPZ,3.0226,1387.37
FANG,31.4567,5571.3
FAST,26.9516,1967.47
IBM,14.3675,2645.49
JNPR,82.1734,3046.99
LDOS,33.2039,4173.4
LLY,6.4934,5012.39
META,5.5198,2659.11
NFLX,0.6553,385.09
NVDA,3.1664,2504.37
PGR,31.8447,6164.5
PSX,63.5359,9423.01
QCOM,2.5401,398.87
RL,21.8703,4089.53
STX,23.0275,2041.62
T,35.3932,587.53
UBER,23.2744,1823.78
VLTO,29.6423,2558.43
VTRS,151.2762,2031.64
WAT,4.8961,1601.17
WM,0.492,102.07
WRK,9.3944,410.72
