Item,Shares,Value ($)
Cash,0.0,0
ABBV,42.2016,7580.67
AKAM,7.9898,879.12
CBOE,82.6124,15186.64
CEG,4.2524,714.02
COR,44.5212,10581.8
FANG,38.5679,7115.78
FAST,7.3824,548.66
GRMN,12.4196,1813.14
IBM,9.1648,1757.17
JNPR,84.9287,3142.36
LDOS,24.5453,3123.39
LLY,3.7944,2786.49
META,3.5059,1695.42
MOH,5.3055,2134.24
MPC,0.2776,50.36
NFLX,2.4246,1457.01
NRG,92.547,5594.47
NVDA,4.2948,3683.82
NWS,10.3226,281.91
PGR,36.3342,7148.39
PKG,1.4693,275.76
PSX,39.8957,5964.01
QCOM,11.4062,1951.83
RL,8.1767,1458.64
STX,15.3515,1408.35
T,25.6247,444.08
TSN,34.381,1916.05
UBER,2.8214,218.57
VLTO,27.9167,2477.89
WAT,9.8541,3486.97
WDC,2.9838,185.14
WM,0.9943,208.09
WRK,58.9083,2729.81
