Item,Shares,Value ($)
Cash,0.0,0.029999999999999992
ABBV,42.2016,7580.67
AKAM,7.9898,879.1176842468261
CBOE,82.6125,15186.66
CEG,4.2524,714.0204995727538
COR,44.521300000000004,10581.82
FANG,38.5679,7115.78
FAST,7.3822,548.65
GRMN,12.4196,1813.1374722229004
IBM,9.1646,1757.1287188446045
JNPR,84.92880000000001,3142.3656000000005
LDOS,24.5454,3123.4
LLY,3.7944,2786.493509472656
META,3.5059,1695.4181681610107
MOH,5.3055,2134.243426712036
MPC,0.2777,50.377558016967775
NFLX,2.4246,1457.0148602416991
NRG,92.5473,5594.484355607987
NVDA,4.2948,3683.821710058594
NWS,10.3231,281.92
PGR,36.3341,7148.371033589172
PKG,1.4693,275.76
PSX,39.8956,5963.99
QCOM,11.4061,1951.81
RL,8.1766,1458.6236690093995
STX,15.3515,1408.35
T,25.625300000000003,444.09
TSN,34.3808,1916.04
UBER,2.8216,218.59
VLTO,27.9166,2477.8774756362914
WAT,9.8541,3486.971681652832
WDC,2.9838000000000005,185.14
WM,0.9944,208.10803078613282
WRK,58.9086,2729.82
