Item,Shares,Value ($)
Cash,0.0,9.859999999982278
ABBV,41.80200000000001,7562.82
AKAM,6.8637999999999995,753.51
CBOE,80.8525,14690.9
CEG,3.0245999999999995,509.26
COR,45.6499,10839.12
FANG,38.376,7081.14
FAST,9.1446,688.23
GRMN,15.1661,2251.41
IBM,12.729600000000001,2517.67
JNPR,85.29429999999999,3143.1
LDOS,23.009999999999998,2927.8
LLY,3.9194999999999998,2959.03
META,3.4709,1734.59
MOH,5.4027,2174.86
MPC,0.0017000000000000348,0.31
NFLX,2.3548999999999998,1439.04
NRG,96.9219,6038.24
NVDA,4.3433,3992.06
NWS,11.2762,307.51
PGR,36.5639,7274.03
PSX,39.2101,5896.03
QCOM,11.1091,1922.77
RL,7.713100000000001,1391.83
STX,11.5134,1048.99
T,16.792699999999996,288.84
TSN,34.2615,1897.75
UBER,0.007200000000000095,0.57
VLTO,23.8027,2104.88
WAT,9.9249,3506.47
WDC,4.4074,277.54
WM,0.996,208.96
WRK,66.5004,3119.54
A,0.0002,0.03
CI,0.0004,0.14
DVA,0.9786,136.24
KEY,0.0502,0.75
MCK,0.0003,0.16
TGT,0.0002,0.04
