Item,Shares,Value ($)
Cash,0.0,0
ABBV,42.2017,7580.69
AKAM,7.9899,879.13
CBOE,82.6125,15186.66
CEG,4.2524,714.02
COR,44.5212,10581.8
FANG,38.5679,7115.78
FAST,7.3824,548.66
GRMN,12.4196,1813.14
IBM,9.1646,1757.13
JNPR,84.9287,3142.36
LDOS,24.5453,3123.39
LLY,3.7944,2786.49
META,3.5058,1695.37
MOH,5.3055,2134.24
MPC,0.2776,50.36
NFLX,2.4246,1457.01
NRG,92.5472,5594.48
NVDA,4.2948,3683.82
NWS,10.3224,281.9
PGR,36.3341,7148.37
PKG,1.4694,275.78
PSX,39.8956,5963.99
QCOM,11.4062,1951.83
RL,8.1766,1458.62
STX,15.3516,1408.36
T,25.625,444.08
TSN,34.3808,1916.04
UBER,2.8216,218.59
VLTO,27.9166,2477.88
WAT,9.8541,3486.97
WDC,2.9836,185.13
WM,0.9944,208.11
WRK,58.9084,2729.82
