Item,Shares,Value ($)
Cash,0.0,0.0
ABBV,42.2017,7580.6915770629885
AKAM,7.9898,879.12
CBOE,82.6124,15186.64
CEG,4.2524,714.0204995727538
COR,44.5212,10581.798489916991
FANG,38.568000000000005,7115.8
FAST,7.3823,548.65
GRMN,12.4196,1813.1374722229004
IBM,9.1646,1757.1287188446045
JNPR,84.92880000000001,3142.37
LDOS,24.5453,3123.3894250000003
LLY,3.7944,2786.493509472656
META,3.5059,1695.42
MOH,5.3055,2134.243426712036
MPC,0.2777,50.38
NFLX,2.4246,1457.0148602416991
NRG,92.5473,5594.48
NVDA,4.2948,3683.821710058594
NWS,10.3229,281.92
PGR,36.3341,7148.371033589172
PKG,1.4694,275.776981237793
PSX,39.8955,5963.98
QCOM,11.4062,1951.8288883056641
RL,8.1766,1458.6236690093995
STX,15.3516,1408.3557512054442
T,25.6245,444.07
TSN,34.3811,1916.06
UBER,2.8215,218.58
VLTO,27.9166,2477.8774756362914
WAT,9.8541,3486.971681652832
WDC,2.9837000000000002,185.14
WM,0.9944,208.10803078613282
WRK,58.9083,2729.81
