Item,Shares,Value ($)
Cash,0.0,9.929999999982275
ABBV,41.8018,7562.79
AKAM,6.8637999999999995,753.51
CBOE,80.8523,14690.87
CEG,3.0245999999999995,509.26
COR,45.6498,10839.09
FANG,38.37579999999999,7081.11
FAST,9.144400000000001,688.21
GRMN,15.166,2251.4
IBM,12.729500000000002,2517.65
JNPR,85.2939,3143.09
LDOS,23.0099,2927.78
LLY,3.9194999999999998,2959.03
META,3.4709,1734.59
MOH,5.4027,2174.86
MPC,0.0017000000000000348,0.31
NFLX,2.3548999999999998,1439.04
NRG,96.92139999999999,6038.21
NVDA,4.3433,3992.06
NWS,11.2754,307.49
PGR,36.56379999999999,7274.01
PSX,39.209999999999994,5896.01
QCOM,11.1092,1922.79
RL,7.713100000000001,1391.83
STX,11.5134,1048.99
T,16.792499999999993,288.84
TSN,34.261599999999994,1897.76
UBER,0.007200000000000095,0.57
VLTO,23.8026,2104.87
WAT,9.9249,3506.47
WDC,4.4072,277.53
WM,0.9959,208.93
WRK,66.50000000000001,3119.52
A,0.0002,0.03
CI,0.00030000000000000003,0.11
DVA,0.9786,136.24
KEY,0.0502,0.75
MCK,0.0003,0.16
TGT,0.0002,0.04
