Item,Shares,Value ($)
Cash,0.0,-10.160000000016643
ABBV,42.2058,7581.43
AKAM,7.9906,879.21
CBOE,82.6206,15188.15
CEG,4.2528,714.09
COR,44.5256,10582.85
FANG,38.5717,7116.48
FAST,7.382899999999999,548.7
GRMN,12.4208,1813.32
IBM,9.1656,1757.33
JNPR,84.9372,3142.68
LDOS,24.5478,3123.71
LLY,3.7948,2786.79
META,3.5062,1695.57
MOH,5.306,2134.45
MPC,0.2777,50.38
NFLX,2.4248,1457.14
NRG,92.5559,5595.01
NVDA,4.2951999999999995,3684.17
NWS,10.323699999999999,281.95
PGR,36.3377,7149.08
PKG,1.4697,275.84
PSX,39.8994,5964.57
QCOM,11.4072,1952.01
RL,8.1775,1458.79
STX,15.353,1408.49
T,25.628,444.14
TSN,34.3839,1916.22
UBER,2.8219000000000003,218.62
VLTO,27.919400000000003,2478.13
WAT,9.8551,3487.33
WDC,2.984,185.16
WM,0.9944999999999999,208.13
WRK,58.9139,2730.08
