Item,Shares,Value ($)
Cash,0.0,9.939999999982275
ABBV,41.80200000000001,7562.8177634582535
AKAM,6.8637999999999995,753.5079556213378
CBOE,80.8523,14690.87
CEG,3.0246999999999997,509.27
COR,45.6497,10839.07
FANG,38.375899999999994,7081.13
FAST,9.1446,688.2226155349732
GRMN,15.1661,2251.407498716736
IBM,12.729600000000001,2517.660272460938
JNPR,85.29429999999999,3143.0948248512263
LDOS,23.009999999999998,2927.792350845337
LLY,3.9194999999999998,2959.0265728454588
META,3.4709,1734.582275
MOH,5.4028,2174.9
MPC,0.0017000000000000348,0.30803999481201805
NFLX,2.3548999999999998,1439.0323322448728
NRG,96.92169999999999,6038.23
NVDA,4.3433,3992.05735020752
NWS,11.2754,307.49
PGR,36.56379999999999,7274.01
PSX,39.209999999999994,5896.01
QCOM,11.1091,1922.7630483413695
RL,7.713100000000001,1391.8288714614869
STX,11.5134,1048.9858810272217
T,16.791599999999995,288.82
TSN,34.2617,1897.76
UBER,0.007200000000000095,0.5639039978027418
VLTO,23.8028,2104.89
WAT,9.9249,3506.4670488464353
WDC,4.4074,277.5339833801269
WM,0.9959,208.93
WRK,66.4999,3119.52
A,0.0002,0.029567999267578127
CI,0.0004,0.1375760009765625
DVA,0.9786,136.23091257019044
KEY,0.0502,0.7434620210647583
MCK,0.0003,0.1593719970703125
TGT,0.0002,0.03351400146484375
