Item,Shares,Value ($)
Cash,0.0,9.799999999983356
ABBV,42.1976,7579.96
AKAM,7.989,879.03
CBOE,82.6041,15185.12
CEG,4.252,713.96
COR,44.5167,10580.73
FANG,38.5641,7115.08
FAST,7.3816,548.61
GRMN,12.4183,1812.95
IBM,9.1638,1756.98
JNPR,84.9204,3142.06
LDOS,24.5429,3123.09
LLY,3.7941,2786.28
META,3.5055,1695.23
MOH,5.305,2134.05
MPC,0.2776,50.36
NFLX,2.4244,1456.9
NRG,92.5377,5593.91
NVDA,4.2943,3683.4
NWS,10.3219,281.9
PGR,36.3305,7147.67
PKG,1.4693,275.76
PSX,39.8916,5963.4
QCOM,11.405,1951.63
RL,8.1758,1458.49
STX,15.3499,1408.2
T,25.6223,444.04
TSN,34.3773,1915.85
UBER,2.8212,218.56
VLTO,27.9139,2477.64
WAT,9.8531,3486.62
WDC,2.9835,185.13
WM,0.9943,208.09
WRK,58.902,2729.52
